word,phonetic,definition_zh,definition_en,example,tags,audio_file
august,/ɔːˈɡʌst/,,"Awe-inspiring, majestic, noble, venerable.",an august patron of the arts,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/august.mp3
aunt,/eɪnt/,,The sister or sister-in-law of one’s parent.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/aunt.mp3
autumn,/ˈɔtəm/,,"Traditionally the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/autumn.mp3
awake,/əˈweɪk/,,Not asleep; conscious.,,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/awake.mp3
away,/əˈweɪ/,,To depart; to go to another place.,At 9 o'clock sharp he awayed to bed.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/away.mp3
baby,/ˈbeɪbi/,,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/baby.mp3
back,/bæk/,,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly.",Could you please scratch my back?,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/back.mp3
bad,/beəd/,,"Error, mistake.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bad.mp3
bag,/ˈbeɪɡ/,,"A flexible container made of cloth, paper, plastic, etc.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bag.mp3
ball,/bɔːl/,,"A solid or hollow sphere, or roughly spherical mass.",a ball of spittle; a fecal ball,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/ball.mp3
banana,/bəˈnænə/,,An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/banana.mp3
band,/bænd/,,A strip of material used for strengthening or coupling.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/band.mp3
bank,/bæŋk/,,An institution where one can place and borrow money and take care of financial affairs.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bank.mp3
bar,/bɑɹ/,,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length.",The window was protected by steel bars.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bar.mp3
